Type,DateTime,Title,Channel,Description
AA_SPEAKER,2017-10-27T15:32:43.000Z,"Peter M. - AA Speaker - ""Finding Freedom, Healing, and Happiness"" NEW 2017",Odomtology 12-Step Recovery Media,One of the best AA speakers of all time is back with an amazing share from earlier this year! Peter's way of speaking and delivering the message is truly a gift from a Higher Power. He connects...
AA_SPEAKER,2017-02-10T17:36:33.000Z,"AA Speaker Mike ""Best Speaker added this Year!""",AA Speaker Tapes,AA Speaker Mike kill it with this share a must listen! Hope you enjoy! We will be adding new tapes every week from our users! If you have a tape you want to share visit our website and contact us.
AA_SPEAKER,2014-02-11T19:34:04.000Z,AA Speaker Tapes,AA Speaker Tapes,My hope is to bring you the best and biggest list of AA Speaker tapes and AA Big Book Study Tapes you could ever find on the web. If you have one you would like to add visit our website and...
AA_SPEAKER,2015-01-07T17:11:59.000Z,AA speakers to get out of funk,Melissa Schmidt,
AA_SPEAKER,2014-05-07T19:02:46.000Z,"Don M. - AA Speaker - ""Feelings are NOT Reality!""",Odomtology 12-Step Recovery Media,"Don M. takes on the topic of ""feelings"" in this AA Speaker tape. One of the things many people in recovery struggle with, is being prey to our feelings as well as being propelled to sometimes..."
AA_SPEAKER,2016-01-06T06:32:16.000Z,Top 25 aa speakers,Troutbum 300,
AA_SPEAKER,2013-12-02T22:10:12.000Z,Adam T. - AA Speaker - Hilarious Recovery Share! NEW 2013,Odomtology 12-Step Recovery Media,"Get ready for an AWESOME message delivered in an entertaining way! I love how Adam relates his story and his journey to recovery. This tape is full of laughs, but carries a strong message..."
AA_SPEAKER,2013-07-01T20:15:54.000Z,"Don P. - AA Speaker - ""The Topic of Fear and Relationships""",Odomtology 12-Step Recovery Media,"In this tape, one of the best AA speakers, Don P. from Colorado, shares his experience, strength, and hope with the topic of fear, as well as the topic of relationships with others. He uses..."
AA_SPEAKER,2013-03-27T20:53:20.000Z,"Mickey B. - AA Speaker - ""The First Steps of Recovery, and the Promises""",Odomtology 12-Step Recovery Media,"Awesome AA speaker, Mickey B. from the UK/California shares about the first three steps of the 12-Step Program of Recovery. He also shares the gifts and blessings of working the program and..."
AA_SPEAKER,2016-05-22T20:28:34.000Z,A.A. Speaker Adam T.  Hilarious Recovery Share!,Alcoholicos y Narcoticos Anonimos,"Get ready for an AWESOME message delivered in an entertaining way! I love how Adam relates his story and his journey to recovery. This tape is full of laughs, but carries a strong message of..."
AA_SPEAKER,2014-11-05T19:48:25.000Z,"Myers R. - AA Speaker - ""The Coolest Thing in the World is Recovery From Alcoholism""",Odomtology 12-Step Recovery Media,"One half of the dynamic duo of AA speakers, Myers R. (whose brother is Chris R.) shares his incredible and inspirational story. If this tape does not motivate you or touch your heart, well..."
AA_SPEAKER,2013-06-10T20:19:06.000Z,"Larry T. - AA Speaker - ""Surrendering to Win""",Odomtology 12-Step Recovery Media,"Awesome speaker tape by Larry T., who is one of the best AA speakers of all time, in my humble opinion. His tapes tend to make me laugh quite a bit, they sometimes make me cry, but they always..."
AA_SPEAKER,2017-02-06T18:44:53.000Z,"AA Speaker Danny "" Great Message""",AA Speaker Tapes,AA Speaker Danny Hope you enjoy! We will be adding new tapes every week from our users! If you have a tape you want to share visit our website and contact us.
AA_SPEAKER,2012-05-09T19:43:37.000Z,"Joshua H. - AA Speaker - ""Being Young in Recovery""",Odomtology 12-Step Recovery Media,"Really great talk from Joshua H. he is a WONDERFUL AA speaker, and shares some awesome experience, strength, and hope as he overcomes alcohol addiction! Enjoy! :) Addiction treatment WORKS!..."
AA_SPEAKER,2013-05-02T15:38:16.000Z,"Peter M. - AA Speaker - ""The Sunlight of the Spirit""",Odomtology 12-Step Recovery Media,AA speaker Peter M. from New Jersey hits it out of the park again with this wonderful share! Addiction treatment WORKS! The Twelve Step Model has been utilized as a treatment for alcohol abuse...
AA_SPEAKER,2014-06-26T17:36:14.000Z,Best Speakers for the Newcomer to Alcoholics Anonymous,Odomtology 12-Step Recovery Media,"If you are fresh out of detox, treatment or rehab. Or if you just have a problem with alcohol, these AA speaker tapes will help you immensely. When I first got sober, listening to speakers..."
AA_SPEAKER,2013-04-03T21:37:11.000Z,"Bob D. - AA Speakers - ""Surrender""",Odomtology 12-Step Recovery Media,"Bob D. does it again and absolutely knocks it out of the park! This is a wonderful tape for newcomers. He explains, in his typical down-to-earth style the nature of ""surrender"" (a word that..."
AA_SPEAKER,2013-10-30T19:43:04.000Z,"Sandy B. - AA Speaker - ""God's Plan For Us""",Odomtology 12-Step Recovery Media,"From the book Alcoholics Anonymous: ""In spite of the great increase in the size and span of this Fellowship, at its core it remains simple and personal. Each day, somewhere in the world, recovery..."
AA_SPEAKER,2013-03-22T02:33:32.000Z,AA Speakers and More,AA Speakers and More,AA Speakers and More (Formerly We Do Recover) is a YouTube channel devoted to helping people find 12 step recovery speakers that they can identify with. We are not affiliated in any way with...
AA_SPEAKER,2013-01-24T22:45:53.000Z,Alcoholics Anonymous Speakers - AA Speakers,Odomtology 12-Step Recovery Media,"Alcoholics Anonymous Speaker Tapes - Subscribe to our channel for awesome xa speakers! ""Most of us feel we need look no further for Utopia. We have it with us right here and now. Each day..."
AA_SPEAKER,2013-08-19T19:24:13.000Z,"Sandy B. ""Practicing the Presence of Now"" - AA Speaker",Odomtology 12-Step Recovery Media,"One of the most powerful and moving AA speakers, Sandy B. from Florida shares about spirituality, recovery, and life. TONS of great insight and advice for living on a daily basis. Do not..."
AA_SPEAKER,2014-04-16T16:24:45.000Z,"Katie P. - AA Speaker - ""Living the Solution Daily""",Odomtology 12-Step Recovery Media,"One of my favorite speakers, and people in general, Katie P. shares her experience in recovery and how she became involved in the Program, and not just the fellowship. Her story really highlights..."
AA_SPEAKER,2014-05-29T16:37:12.000Z,"Joe H. - AA Speaker - ""Finding and Using a Higher Power""",Odomtology 12-Step Recovery Media,"One of the most important things in recovery is our relationship with a Higher Power. In this AMAZING workshop, Joe H. from California talks about the importance of the spiritual life and..."
AA_SPEAKER,2012-12-20T19:14:14.000Z,"Chuck C. - AA Speaker - ""New Way of Seeing The World"" - Alcoholism Recovery",Odomtology 12-Step Recovery Media,"Love Chuck C... what an amazing man.. no further comments required. Do yourself a favor and read the book ""New Pair of Glasses"" it is excellent and life-changing! Addiction treatment WORKS!..."
